"Date","Price","Open","High","Low","Vol.","Change %"
"29-04-2020","96.12","91.75","96.39","90.89","9.40M","8.99%"
"30-04-2020","91.25","93.75","94.31","91.17","6.55M","-5.07%"
"01-05-2020","88.32","88.10","89.07","87.16","4.62M","-3.21%"
"04-05-2020","86.38","86.09","87.37","85.02","4.88M","-2.20%"
"05-05-2020","86.74","88.00","88.73","86.36","4.41M","0.42%"
"06-05-2020","84.00","87.49","87.76","83.86","4.72M","-3.16%"
"07-05-2020","86.73","85.30","87.37","84.93","4.63M","3.25%"
"08-05-2020","89.50","88.50","89.66","87.55","3.92M","3.19%"
"11-05-2020","85.33","87.50","87.65","85.30","5.92M","-4.66%"
"12-05-2020","83.14","86.10","87.26","83.10","5.50M","-2.57%"
"13-05-2020","78.03","82.00","82.13","77.40","10.68M","-6.15%"
"14-05-2020","83.81","76.92","83.90","76.00","10.63M","7.41%"
"15-05-2020","82.22","82.47","83.39","81.22","6.62M","-1.90%"
"18-05-2020","88.41","86.72","89.00","85.92","7.79M","7.53%"
"19-05-2020","87.26","88.42","89.84","86.61","4.92M","-1.30%"
"20-05-2020","90.73","89.18","91.34","88.77","5.22M","3.98%"
"21-05-2020","89.83","90.11","91.43","89.12","6.24M","-0.99%"
"22-05-2020","89.33","89.71","89.94","88.21","3.73M","-0.56%"
"26-05-2020","94.32","93.94","95.57","92.89","6.56M","5.59%"
"27-05-2020","101.23","100.00","101.69","96.80","11.01M","7.33%"
"28-05-2020","98.06","101.54","102.46","98.01","9.27M","-3.13%"
"29-05-2020","95.07","95.50","97.11","94.66","7.71M","-3.05%"
"01-06-2020","96.75","95.56","98.07","94.56","4.27M","1.77%"
"02-06-2020","99.07","98.60","100.49","98.17","5.43M","2.40%"
"03-06-2020","105.40","102.78","105.87","101.63","7.30M","6.39%"
"04-06-2020","106.54","103.47","107.43","103.23","5.84M","1.08%"
"05-06-2020","109.73","114.11","115.93","108.07","10.10M","2.99%"
"08-06-2020","113.67","111.91","113.71","110.64","6.80M","3.59%"
"09-06-2020","110.46","110.08","111.80","108.67","5.52M","-2.82%"
"10-06-2020","106.16","110.00","110.33","105.96","5.75M","-3.89%"
"11-06-2020","98.60","100.87","102.99","98.13","8.60M","-7.12%"
"12-06-2020","101.68","103.21","103.50","98.08","7.25M","3.12%"
"15-06-2020","103.95","100.00","104.74","97.62","6.48M","2.23%"
"16-06-2020","105.62","109.02","109.06","102.86","6.71M","1.61%"
"17-06-2020","103.96","105.67","106.12","103.83","4.41M","-1.57%"
"18-06-2020","102.16","102.14","103.49","101.27","3.65M","-1.73%"
"19-06-2020","100.94","104.23","104.23","99.32","7.59M","-1.19%"
"22-06-2020","99.44","98.00","100.50","97.95","4.80M","-1.49%"
"23-06-2020","99.42","100.94","101.65","99.25","4.36M","-0.02%"
"24-06-2020","95.48","97.65","98.27","95.00","5.96M","-3.96%"
"25-06-2020","97.85","94.61","98.12","93.76","5.20M","2.48%"
"26-06-2020","93.42","95.93","96.30","92.45","10.49M","-4.53%"
"29-06-2020","94.52","94.44","95.41","93.34","4.96M","1.18%"
"30-06-2020","95.20","94.16","95.60","93.57","4.37M","0.72%"
"01-07-2020","94.05","95.25","96.96","93.64","3.30M","-1.21%"
"02-07-2020","94.33","96.77","97.29","93.85","4.24M","0.30%"
"06-07-2020","96.58","96.51","97.90","95.84","4.06M","2.39%"
"07-07-2020","93.01","95.44","95.51","92.63","5.56M","-3.70%"
"08-07-2020","92.90","91.97","93.10","90.71","6.38M","-0.12%"
"09-07-2020","90.57","92.51","93.21","89.58","4.48M","-2.51%"
"10-07-2020","93.23","90.32","93.31","89.82","4.40M","2.94%"
"13-07-2020","93.56","94.24","95.76","92.78","4.82M","0.35%"
"14-07-2020","94.84","93.19","95.22","92.29","4.04M","1.37%"
"15-07-2020","97.36","96.66","97.78","96.39","5.41M","2.66%"
"16-07-2020","96.32","96.50","97.79","95.67","2.67M","-1.07%"
"17-07-2020","95.18","96.35","96.53","95.01","2.87M","-1.18%"
"20-07-2020","94.00","94.80","95.36","93.58","3.56M","-1.24%"
"21-07-2020","96.33","95.25","97.46","94.73","4.23M","2.48%"
"22-07-2020","96.54","95.81","97.41","95.38","4.36M","0.22%"
"23-07-2020","96.67","95.51","97.78","95.51","4.24M","0.13%"
"24-07-2020","95.33","95.30","97.15","93.30","4.79M","-1.39%"
"27-07-2020","95.79","94.64","95.98","93.64","3.50M","0.48%"
"28-07-2020","94.42","95.76","96.29","94.18","3.57M","-1.43%"
"29-07-2020","96.69","94.71","96.75","94.44","2.79M","2.40%"
"30-07-2020","94.65","94.68","94.78","92.50","3.86M","-2.11%"
"31-07-2020","93.32","94.31","94.45","92.23","4.09M","-1.41%"
"03-08-2020","93.54","93.31","94.40","92.44","2.87M","0.24%"
"04-08-2020","93.19","93.49","93.80","92.49","2.42M","-0.37%"
"05-08-2020","95.39","93.82","95.58","93.81","2.85M","2.36%"
"06-08-2020","95.92","95.18","96.26","94.48","2.70M","0.56%"
"07-08-2020","99.16","95.29","99.30","94.95","4.69M","3.38%"
"10-08-2020","101.62","99.49","102.64","99.26","5.25M","2.48%"
"11-08-2020","103.26","103.99","105.70","102.96","4.74M","1.61%"
"12-08-2020","101.68","104.76","104.80","100.68","3.41M","-1.53%"
"13-08-2020","100.42","100.53","101.83","99.50","3.27M","-1.24%"
"14-08-2020","100.41","99.66","101.29","99.27","1.96M","-0.01%"
"17-08-2020","97.55","99.92","100.00","97.44","7.49M","-2.85%"
"18-08-2020","96.67","98.19","98.83","96.47","3.34M","-0.90%"
"19-08-2020","96.89","96.82","97.91","95.89","3.08M","0.23%"
"20-08-2020","96.72","95.74","97.58","95.68","3.10M","-0.18%"
"21-08-2020","96.15","96.49","97.65","95.96","2.85M","-0.59%"
"24-08-2020","99.33","96.68","99.37","96.39","4.14M","3.31%"
"25-08-2020","99.05","100.62","100.79","98.03","2.95M","-0.28%"
"26-08-2020","98.40","98.56","99.14","97.81","2.94M","-0.66%"
"27-08-2020","101.53","98.76","102.14","98.53","3.99M","3.18%"
"28-08-2020","102.54","102.15","102.90","100.74","4.38M","0.99%"
"31-08-2020","101.59","102.90","102.90","101.36","4.67M","-0.93%"
"01-09-2020","102.47","100.54","102.78","100.16","3.14M","0.87%"
"02-09-2020","104.40","102.58","104.87","102.29","3.54M","1.88%"
"03-09-2020","104.46","104.97","109.03","103.85","6.75M","0.06%"
"04-09-2020","105.67","106.35","108.28","104.48","5.24M","1.16%"
"08-09-2020","103.67","104.42","105.08","103.30","4.52M","-1.89%"
"09-09-2020","103.78","104.57","104.71","102.69","2.47M","0.11%"
"10-09-2020","102.77","104.19","105.11","102.31","3.29M","-0.97%"
"11-09-2020","103.36","102.91","103.85","102.01","2.60M","0.57%"
"14-09-2020","107.27","104.65","107.69","104.22","3.62M","3.78%"
"15-09-2020","106.68","107.84","108.12","106.24","3.37M","-0.55%"
"16-09-2020","105.98","106.73","107.49","104.69","5.80M","-0.66%"
"17-09-2020","104.66","104.27","105.35","103.32","3.22M","-1.25%"
"18-09-2020","103.44","104.46","106.12","103.31","6.63M","-1.17%"
"21-09-2020","98.17","100.60","100.63","96.21","8.34M","-5.09%"
"22-09-2020","98.48","98.01","99.78","96.41","4.88M","0.32%"
"23-09-2020","95.56","95.76","97.10","95.09","9.43M","-2.97%"
"24-09-2020","95.45","95.34","96.90","93.71","4.25M","-0.12%"
"25-09-2020","96.26","94.68","96.85","94.46","2.78M","0.85%"
"28-09-2020","98.82","99.00","99.72","98.63","3.93M","2.66%"
"29-09-2020","97.75","98.74","99.35","97.23","3.20M","-1.08%"
"30-09-2020","100.25","98.23","101.52","98.23","5.06M","2.56%"
"01-10-2020","101.33","100.33","101.48","99.37","4.18M","1.08%"
"02-10-2020","101.61","99.78","103.14","98.63","3.78M","0.28%"
"05-10-2020","103.89","103.33","104.08","102.27","2.86M","2.24%"
"06-10-2020","101.76","105.01","105.29","101.32","3.31M","-2.05%"
"07-10-2020","103.38","102.81","104.15","102.39","3.05M","1.59%"
"08-10-2020","106.06","104.33","106.14","104.06","2.92M","2.59%"
"09-10-2020","106.34","105.99","107.21","105.24","3.51M","0.26%"
"12-10-2020","106.61","106.46","107.01","106.00","2.63M","0.25%"
"13-10-2020","105.01","105.89","106.59","104.76","2.60M","-1.50%"
"14-10-2020","104.81","105.38","106.27","104.76","2.83M","-0.19%"
"15-10-2020","104.43","103.44","104.89","103.02","2.70M","-0.36%"
"16-10-2020","104.91","104.65","105.68","104.20","2.39M","0.46%"
"19-10-2020","102.47","105.13","105.22","102.25","3.20M","-2.33%"
"20-10-2020","103.14","102.94","104.61","102.83","2.96M","0.65%"
"21-10-2020","101.43","103.17","103.39","101.36","2.59M","-1.66%"
"22-10-2020","104.79","101.70","104.86","101.57","3.75M","3.31%"
"23-10-2020","100.98","100.63","103.64","100.00","8.92M","-3.64%"
"26-10-2020","96.88","99.77","100.10","95.78","5.73M","-4.06%"
"27-10-2020","94.93","97.62","97.70","94.90","3.78M","-2.01%"
"28-10-2020","91.60","91.96","93.57","91.00","7.04M","-3.51%"
"29-10-2020","91.07","91.41","92.23","90.13","5.42M","-0.58%"
"30-10-2020","91.24","90.80","91.32","89.11","4.74M","0.19%"
"02-11-2020","93.40","92.96","94.13","92.27","3.57M","2.37%"
"03-11-2020","96.29","94.75","96.85","94.40","4.00M","3.09%"
"04-11-2020","96.40","94.00","97.82","92.86","4.55M","0.11%"
"05-11-2020","98.11","97.21","98.32","96.84","4.20M","1.77%"
"06-11-2020","96.69","98.52","98.64","96.27","3.13M","-1.45%"
"09-11-2020","117.37","110.54","119.81","110.19","17.26M","21.39%"
"10-11-2020","115.95","118.59","119.89","115.12","7.06M","-1.21%"
"11-11-2020","111.12","115.93","116.00","110.30","5.64M","-4.17%"
"12-11-2020","111.10","109.82","112.12","109.55","4.94M","-0.02%"
"13-11-2020","114.99","112.34","115.64","112.21","4.81M","3.50%"
"16-11-2020","118.67","119.10","120.39","116.75","5.34M","3.20%"
"17-11-2020","116.48","116.97","117.79","114.14","4.02M","-1.85%"
"18-11-2020","114.24","116.94","118.76","114.19","3.26M","-1.92%"
"19-11-2020","114.14","113.78","114.80","112.53","3.25M","-0.09%"
"20-11-2020","112.58","113.74","114.54","111.90","3.70M","-1.37%"
"23-11-2020","116.09","114.24","116.78","113.72","3.02M","3.12%"
"24-11-2020","120.39","119.00","120.84","117.89","6.17M","3.70%"
"25-11-2020","120.58","119.50","120.98","118.25","4.65M","0.16%"
"27-11-2020","120.59","120.53","121.69","119.79","2.45M","0.01%"
"30-11-2020","118.59","120.03","121.48","118.00","3.52M","-1.66%"
"01-12-2020","119.93","120.32","122.57","119.85","3.58M","1.13%"
"02-12-2020","122.33","119.28","122.85","118.90","3.27M","2.00%"
"03-12-2020","123.12","122.85","123.95","122.11","4.29M","0.65%"
"04-12-2020","125.04","124.35","125.32","123.85","5.05M","1.56%"
"07-12-2020","123.94","124.51","124.87","122.63","4.25M","-0.88%"
"08-12-2020","123.52","122.47","124.55","122.02","3.62M","-0.34%"
"09-12-2020","121.69","123.28","123.96","121.01","3.62M","-1.48%"
"10-12-2020","121.84","120.72","122.13","119.70","2.82M","0.12%"
"11-12-2020","120.23","120.11","120.50","118.84","2.94M","-1.32%"
"14-12-2020","117.36","121.73","121.79","116.65","5.34M","-2.39%"
"15-12-2020","119.10","118.79","119.31","115.56","4.53M","1.48%"
"16-12-2020","119.00","118.93","119.59","118.28","2.94M","-0.08%"
"17-12-2020","118.98","119.41","119.67","118.46","3.75M","-0.02%"
"18-12-2020","117.51","118.59","119.36","116.65","8.39M","-1.24%"
"21-12-2020","116.41","115.77","118.00","113.72","4.53M","-0.94%"
"22-12-2020","114.55","116.19","116.26","114.38","3.63M","-1.60%"
"23-12-2020","116.95","115.78","118.19","115.78","2.73M","2.10%"
"24-12-2020","117.35","116.93","117.44","115.82","706.97K","0.34%"
"28-12-2020","118.36","118.05","119.35","117.60","1.88M","0.86%"
"29-12-2020","118.14","119.24","119.35","118.00","1.86M","-0.19%"
"30-12-2020","119.43","118.25","119.95","118.15","1.95M","1.09%"
"31-12-2020","120.91","119.71","121.06","119.16","1.75M","1.24%"
"04-01-2021","118.04","121.30","121.80","116.85","3.47M","-2.37%"
"05-01-2021","118.67","118.26","119.28","117.10","2.11M","0.53%"
"06-01-2021","123.06","121.00","124.73","120.81","5.86M","3.70%"
