"Date","Price","Open","High","Low","Vol.","Change %"
"23-07-2021","173.18","176.53","179.67","172.95","6.33M","1.33%"
"26-07-2021","172.61","173.25","175.43","172.30","3.12M","-0.33%"
"27-07-2021","172.94","170.46","175.12","169.96","7.92M","0.19%"
"28-07-2021","170.02","173.00","173.45","169.71","7.96M","-1.69%"
"29-07-2021","171.95","171.39","173.82","171.00","3.19M","1.14%"
"30-07-2021","170.53","172.32","173.24","169.82","3.44M","-0.83%"
"02-08-2021","169.27","171.14","173.36","168.76","2.90M","-0.74%"
"03-08-2021","169.04","169.75","170.29","165.30","3.64M","-0.14%"
"04-08-2021","168.06","168.30","170.44","167.32","3.54M","-0.58%"
"05-08-2021","169.63","168.66","170.53","168.32","2.54M","0.93%"
"06-08-2021","171.36","170.53","172.85","169.74","2.83M","1.02%"
"09-08-2021","170.78","170.35","171.12","168.79","2.56M","-0.34%"
"10-08-2021","169.49","170.73","171.70","168.68","3.39M","-0.76%"
"11-08-2021","170.67","169.45","170.73","168.67","3.84M","0.70%"
"12-08-2021","168.52","170.02","170.11","167.97","3.37M","-1.26%"
"13-08-2021","166.08","168.09","168.30","165.61","4.16M","-1.45%"
"16-08-2021","165.75","164.77","165.90","162.63","3.85M","-0.20%"
"17-08-2021","164.65","164.76","166.35","163.35","7.63M","-0.66%"
"18-08-2021","162.13","163.83","165.14","162.06","3.56M","-1.53%"
"19-08-2021","159.03","160.16","161.09","157.33","4.26M","-1.91%"
"20-08-2021","159.75","158.85","159.99","158.06","3.07M","0.45%"
"23-08-2021","160.45","161.23","161.85","160.11","2.01M","0.44%"
"24-08-2021","161.20","160.60","161.90","160.19","2.38M","0.47%"
"25-08-2021","166.18","161.88","167.23","160.50","3.58M","3.09%"
"26-08-2021","165.51","165.97","166.50","164.38","3.16M","-0.40%"
"27-08-2021","168.65","165.35","168.89","165.16","3.00M","1.90%"
"30-08-2021","164.26","168.16","168.30","164.21","2.58M","-2.60%"
"31-08-2021","165.96","164.10","166.43","163.72","3.54M","1.03%"
"01-09-2021","164.44","166.34","167.27","164.13","2.57M","-0.92%"
"02-09-2021","162.05","165.05","165.08","161.14","4.35M","-1.45%"
"03-09-2021","159.30","160.75","161.28","158.16","4.21M","-1.70%"
"07-09-2021","159.72","158.87","160.66","158.57","3.78M","0.26%"
"08-09-2021","158.93","159.19","159.26","156.80","3.06M","-0.49%"
"09-09-2021","159.39","158.78","162.15","158.54","3.30M","0.29%"
"10-09-2021","158.72","161.17","161.46","158.39","2.94M","-0.42%"
"13-09-2021","161.45","160.64","161.80","159.75","3.19M","1.72%"
"14-09-2021","159.48","162.68","165.83","158.78","4.28M","-1.22%"
"15-09-2021","161.34","160.02","162.31","159.21","2.93M","1.17%"
"16-09-2021","162.63","163.10","164.50","162.20","2.76M","0.80%"
"17-09-2021","163.92","161.57","164.25","161.57","6.40M","0.79%"
"20-09-2021","160.57","159.36","162.14","157.95","5.98M","-2.04%"
"21-09-2021","163.27","161.91","165.35","161.69","3.48M","1.68%"
"22-09-2021","167.49","165.62","168.62","164.90","3.56M","2.58%"
"23-09-2021","173.36","169.49","174.10","169.31","4.40M","3.50%"
"24-09-2021","175.72","173.37","176.00","173.30","2.68M","1.36%"
"27-09-2021","176.77","177.67","178.80","176.33","3.70M","0.60%"
"28-09-2021","173.14","175.49","177.24","172.68","3.86M","-2.05%"
"29-09-2021","171.54","172.89","172.98","170.40","2.73M","-0.92%"
"30-09-2021","167.53","172.18","172.36","167.41","3.09M","-2.34%"
"01-10-2021","173.94","168.50","175.12","168.48","3.96M","3.83%"
"04-10-2021","172.66","173.88","177.23","171.88","3.61M","-0.74%"
"05-10-2021","174.76","173.43","176.06","172.64","2.63M","1.22%"
"06-10-2021","173.40","172.55","174.90","169.90","2.92M","-0.78%"
"07-10-2021","174.29","175.50","176.87","173.70","3.58M","0.51%"
"08-10-2021","175.15","173.85","176.98","173.53","2.38M","0.49%"
"11-10-2021","173.46","175.79","176.79","173.33","2.50M","-0.96%"
"12-10-2021","174.91","173.61","176.56","173.10","3.07M","0.84%"
"13-10-2021","168.72","172.78","174.09","167.08","5.61M","-3.54%"
"14-10-2021","171.51","171.00","172.38","169.81","3.06M","1.65%"
"15-10-2021","175.81","173.77","177.77","173.15","3.04M","2.51%"
"18-10-2021","176.82","175.58","177.60","174.33","2.62M","0.57%"
"19-10-2021","177.31","177.73","178.00","176.26","1.40M","0.28%"
"20-10-2021","179.60","176.95","179.77","176.21","2.40M","1.29%"
"21-10-2021","177.47","179.58","179.79","176.01","3.31M","-1.19%"
"22-10-2021","187.08","185.00","189.03","182.20","6.03M","5.42%"
"25-10-2021","182.31","186.73","187.21","181.83","3.89M","-2.55%"
"26-10-2021","180.95","183.42","183.50","177.52","3.83M","-0.75%"
"27-10-2021","178.03","180.10","183.73","177.91","3.31M","-1.61%"
"28-10-2021","174.61","178.40","179.23","173.02","4.87M","-1.92%"
"29-10-2021","173.78","175.63","176.67","173.04","3.46M","-0.48%"
"01-11-2021","174.21","174.58","176.07","173.34","2.25M","0.25%"
"02-11-2021","173.17","175.00","175.20","172.57","3.25M","-0.60%"
"03-11-2021","172.61","172.70","173.83","171.75","3.83M","-0.32%"
"04-11-2021","172.53","172.13","174.02","171.66","3.32M","-0.05%"
"05-11-2021","176.69","176.18","177.79","175.35","3.94M","2.41%"
"08-11-2021","180.05","178.07","182.09","177.79","3.39M","1.90%"
"09-11-2021","179.86","179.76","181.19","178.43","3.20M","-0.11%"
"10-11-2021","181.39","179.36","183.48","179.36","3.30M","0.85%"
"11-11-2021","181.30","181.99","182.73","180.74","2.12M","-0.05%"
"12-11-2021","181.89","180.71","182.38","179.65","2.39M","0.33%"
"15-11-2021","183.13","182.53","183.93","182.04","1.75M","0.68%"
"16-11-2021","180.92","183.40","183.40","179.74","3.30M","-1.21%"
"17-11-2021","179.61","181.18","181.74","178.20","3.54M","-0.72%"
"18-11-2021","176.21","180.00","180.37","175.84","4.02M","-1.89%"
"19-11-2021","173.54","173.73","175.26","171.84","4.46M","-1.52%"
"22-11-2021","170.90","174.99","175.25","170.89","4.65M","-1.52%"
"23-11-2021","170.85","171.30","171.95","167.83","5.89M","-0.03%"
"24-11-2021","171.61","168.48","171.98","167.90","3.59M","0.44%"
"26-11-2021","156.82","165.09","165.24","154.49","6.80M","-8.62%"
"29-11-2021","157.86","160.75","161.41","154.34","6.26M","0.66%"
"30-11-2021","152.30","155.09","155.87","151.70","7.44M","-3.52%"
"01-12-2021","150.06","156.10","157.07","149.89","6.16M","-1.47%"
"02-12-2021","156.77","151.68","157.91","151.46","6.29M","4.47%"
"03-12-2021","155.94","158.08","158.33","153.63","4.07M","-0.53%"
"06-12-2021","160.68","159.07","162.74","158.05","4.14M","3.04%"
"07-12-2021","166.95","164.50","169.16","164.16","5.12M","3.90%"
"08-12-2021","168.93","167.98","170.54","167.28","4.04M","1.19%"
"09-12-2021","168.02","167.85","168.83","166.55","2.25M","-0.54%"
"10-12-2021","167.03","169.38","170.58","165.96","2.77M","-0.59%"
"13-12-2021","163.30","166.40","166.40","161.99","3.48M","-2.23%"
"14-12-2021","162.85","162.14","165.26","161.06","2.96M","-0.28%"
"15-12-2021","162.24","162.71","163.05","158.53","5.01M","-0.37%"
"16-12-2021","163.00","164.00","165.18","161.90","4.90M","0.47%"
"17-12-2021","160.01","161.00","161.32","156.95","9.58M","-1.83%"
"20-12-2021","155.89","157.00","158.21","153.78","3.84M","-2.57%"
"21-12-2021","160.91","157.75","161.05","157.52","3.72M","3.22%"
"22-12-2021","162.47","160.53","163.17","160.45","2.88M","0.97%"
"23-12-2021","164.19","163.86","166.40","163.59","3.14M","1.06%"
"27-12-2021","164.39","165.00","165.00","162.53","1.69M","0.12%"
"28-12-2021","164.41","163.60","166.13","163.60","2.04M","0.01%"
"29-12-2021","163.83","164.62","164.93","163.26","2.08M","-0.35%"
"30-12-2021","164.16","164.62","165.80","164.00","1.63M","0.20%"
"31-12-2021","163.60","164.10","165.17","163.25","1.74M","-0.34%"
"03-01-2022","168.21","164.51","168.40","164.40","3.13M","2.82%"
"04-01-2022","173.61","169.72","174.05","169.60","4.80M","3.21%"
"05-01-2022","171.76","174.71","176.31","171.50","4.49M","-1.07%"
"06-01-2022","172.90","172.54","173.69","169.75","2.65M","0.66%"
"07-01-2022","174.38","172.49","175.36","171.86","3.04M","0.86%"
"10-01-2022","173.74","176.21","176.21","170.50","4.27M","-0.37%"
"11-01-2022","175.38","174.54","175.72","172.49","2.76M","0.94%"
"12-01-2022","174.47","176.23","176.82","174.17","3.22M","-0.52%"
"13-01-2022","173.29","174.92","176.38","172.85","3.81M","-0.68%"
"14-01-2022","168.40","168.71","168.71","164.71","6.51M","-2.82%"
"18-01-2022","166.17","167.91","168.94","164.84","4.34M","-1.32%"
"19-01-2022","161.39","166.73","166.73","161.17","3.59M","-2.88%"
"20-01-2022","160.92","161.12","164.57","159.46","4.21M","-0.29%"
"21-01-2022","158.74","159.95","161.88","157.68","3.78M","-1.35%"
"24-01-2022","158.93","155.82","159.45","152.85","5.41M","0.12%"
"25-01-2022","173.11","166.14","174.47","159.66","13.32M","8.92%"
"26-01-2022","175.32","176.95","179.22","173.03","8.26M","1.28%"
"27-01-2022","171.90","176.70","178.20","170.63","3.65M","-1.95%"
"28-01-2022","177.06","171.76","177.21","169.77","4.27M","3.00%"
"31-01-2022","179.82","175.91","180.13","175.22","5.52M","1.56%"
"01-02-2022","183.54","179.92","184.04","179.00","3.47M","2.07%"
"02-02-2022","184.16","182.51","184.58","181.64","2.84M","0.34%"
"03-02-2022","184.04","184.80","185.80","182.32","3.38M","-0.07%"
"04-02-2022","185.85","184.91","188.68","184.18","4.08M","0.98%"
"07-02-2022","187.87","185.63","188.91","184.75","3.26M","1.09%"
"08-02-2022","194.00","188.08","194.53","187.61","5.13M","3.26%"
"09-02-2022","196.40","194.30","198.72","194.30","4.61M","1.24%"
"10-02-2022","195.51","196.36","198.23","194.61","4.51M","-0.45%"
"11-02-2022","191.81","195.43","197.20","190.45","4.83M","-1.89%"
"14-02-2022","192.35","192.26","194.15","190.92","3.84M","0.28%"
"15-02-2022","197.98","194.65","198.36","194.18","4.14M","2.93%"
"16-02-2022","198.38","197.50","199.55","197.24","4.12M","0.20%"
"17-02-2022","195.71","195.63","197.38","194.27","3.05M","-1.35%"
"18-02-2022","194.88","194.92","197.75","194.20","2.81M","-0.42%"
"22-02-2022","192.44","195.18","196.15","191.75","3.42M","-1.25%"
"23-02-2022","188.95","194.35","194.45","188.55","3.56M","-1.81%"
"24-02-2022","188.35","180.47","188.50","179.05","5.89M","-0.32%"
"25-02-2022","193.71","189.66","194.25","189.46","5.43M","2.85%"
"28-02-2022","194.54","189.63","195.13","189.23","5.79M","0.43%"
"01-03-2022","178.06","194.67","194.77","176.77","8.56M","-8.47%"
"02-03-2022","180.31","179.79","182.24","178.10","4.06M","1.26%"
"03-03-2022","179.89","182.11","183.45","178.73","3.34M","-0.23%"
"04-03-2022","172.95","176.62","176.83","170.82","5.35M","-3.86%"
"07-03-2022","159.13","170.13","170.76","159.08","7.76M","-7.99%"
"08-03-2022","160.05","160.52","166.29","155.72","7.06M","0.58%"
"09-03-2022","168.65","168.02","170.73","166.71","4.79M","5.37%"
"10-03-2022","169.60","165.59","170.96","164.83","3.84M","0.56%"
"11-03-2022","167.90","171.75","172.31","167.63","3.00M","-1.00%"
"14-03-2022","172.79","171.33","174.71","169.71","4.61M","2.91%"
"15-03-2022","176.04","173.59","178.29","173.37","3.83M","1.88%"
"16-03-2022","180.61","179.18","182.76","176.30","5.24M","2.60%"
"17-03-2022","186.97","180.18","187.71","180.06","6.40M","3.52%"
"18-03-2022","190.72","188.69","191.00","184.84","8.74M","2.01%"
"21-03-2022","189.09","190.77","191.50","187.56","3.17M","-0.85%"
"22-03-2022","191.33","190.50","194.35","190.06","3.01M","1.18%"
"23-03-2022","186.02","188.83","189.62","185.18","3.66M","-2.78%"
"24-03-2022","188.89","186.61","189.37","185.70","2.42M","1.54%"
"25-03-2022","190.28","190.41","191.26","189.00","1.87M","0.74%"
"28-03-2022","189.70","189.95","189.95","186.29","3.04M","-0.30%"
"29-03-2022","190.94","192.33","194.00","190.36","2.76M","0.65%"
"30-03-2022","189.76","191.39","192.10","188.40","2.28M","-0.62%"
"31-03-2022","187.00","189.53","191.11","186.94","3.80M","-1.45%"
"01-04-2022","187.17","188.20","189.42","186.28","2.65M","0.09%"
"04-04-2022","187.66","187.62","188.50","185.59","2.97M","0.26%"
"05-04-2022","185.40","187.49","190.84","184.80","2.97M","-1.20%"
"06-04-2022","183.71","184.49","184.87","181.73","3.14M","-0.91%"
"07-04-2022","182.39","181.52","183.26","179.11","4.06M","-0.72%"
"08-04-2022","183.70","183.00","186.72","181.93","3.08M","0.72%"
"11-04-2022","177.57","181.06","182.44","177.25","4.82M","-3.34%"
"12-04-2022","175.54","176.57","179.25","174.71","4.35M","-1.14%"
"13-04-2022","179.59","174.23","180.02","174.00","2.98M","2.31%"
"14-04-2022","181.16","179.27","182.47","178.68","2.67M","0.87%"
"18-04-2022","184.48","181.33","185.89","181.00","2.18M","1.83%"
"19-04-2022","187.17","185.01","188.09","184.71","2.71M","1.46%"
"20-04-2022","188.46","188.33","190.15","187.64","2.26M","0.69%"
"21-04-2022","185.74","190.94","192.42","184.58","3.97M","-1.44%"
"22-04-2022","180.54","185.43","185.55","180.32","4.37M","-2.80%"
"25-04-2022","184.10","179.98","184.26","177.99","4.41M","1.97%"
"26-04-2022","178.65","183.25","183.91","178.54","3.73M","-2.96%"
"27-04-2022","177.63","177.66","179.41","175.50","4.09M","-0.57%"
"28-04-2022","181.98","180.35","183.89","177.61","2.71M","2.45%"
"29-04-2022","174.71","180.09","182.30","174.33","3.21M","-3.99%"
"02-05-2022","171.62","174.65","174.88","167.51","3.88M","-1.77%"
"03-05-2022","172.11","173.00","174.00","170.32","3.15M","0.29%"
"04-05-2022","177.82","172.22","178.17","171.20","2.93M","3.32%"
"05-05-2022","171.01","176.64","176.76","169.33","2.99M","-3.83%"
"06-05-2022","167.15","169.17","169.99","165.01","3.13M","-2.26%"
"09-05-2022","161.02","165.03","166.02","160.38","4.49M","-3.67%"
"10-05-2022","161.83","163.42","164.73","158.39","3.02M","0.50%"
"11-05-2022","159.39","161.73","164.94","159.04","2.64M","-1.51%"
"12-05-2022","153.27","155.60","157.15","149.88","5.31M","-3.84%"
"13-05-2022","158.75","155.96","160.09","155.88","3.63M","3.58%"
"16-05-2022","156.43","157.41","158.74","154.32","2.81M","-1.46%"
"17-05-2022","161.85","161.07","162.76","158.40","2.93M","3.46%"
"18-05-2022","156.10","160.79","160.85","155.40","2.70M","-3.55%"
"19-05-2022","154.00","153.57","156.46","153.25","2.77M","-1.35%"
"20-05-2022","153.24","154.35","154.80","149.71","2.98M","-0.49%"
"23-05-2022","159.04","156.61","159.56","156.02","2.73M","3.78%"
"24-05-2022","155.63","157.29","157.97","152.92","2.82M","-2.14%"
"25-05-2022","160.51","157.14","161.76","156.07","4.38M","3.14%"
"26-05-2022","165.37","162.70","166.77","162.70","2.46M","3.03%"
"27-05-2022","169.60","167.08","169.68","166.04","2.16M","2.56%"
"31-05-2022","168.82","167.94","170.78","167.04","4.12M","-0.46%"
"01-06-2022","165.76","168.70","169.37","163.84","2.28M","-1.81%"
"02-06-2022","169.14","166.14","169.19","165.93","1.71M","2.04%"
"03-06-2022","166.83","166.90","168.04","165.98","1.39M","-1.37%"
"06-06-2022","167.02","169.10","170.26","166.27","1.49M","0.11%"
"07-06-2022","168.69","164.64","169.48","164.45","2.08M","1.00%"
"08-06-2022","165.96","166.75","168.64","165.19","2.31M","-1.62%"
"09-06-2022","160.98","166.22","166.57","160.93","2.27M","-3.00%"
"10-06-2022","154.42","157.26","157.88","154.36","2.73M","-4.08%"
"13-06-2022","146.29","149.86","151.03","145.38","4.16M","-5.26%"
"14-06-2022","144.60","145.95","147.40","143.25","3.57M","-1.16%"
"15-06-2022","146.22","146.69","147.88","143.44","3.33M","1.12%"
"16-06-2022","137.50","142.59","142.60","136.49","4.82M","-5.96%"
"17-06-2022","144.18","138.00","145.56","137.59","10.03M","4.86%"
"21-06-2022","144.76","148.70","148.70","144.16","3.52M","0.40%"
"22-06-2022","144.39","142.23","146.35","141.34","3.42M","-0.26%"
"23-06-2022","141.65","144.52","144.63","139.47","3.92M","-1.90%"
"24-06-2022","146.15","141.63","146.27","141.00","8.96M","3.18%"
"27-06-2022","144.29","147.99","148.77","143.95","3.15M","-1.27%"
"28-06-2022","142.19","146.08","149.51","141.85","2.72M","-1.46%"
"29-06-2022","139.47","141.65","141.68","138.45","4.16M","-1.91%"
"30-06-2022","138.62","136.70","139.87","134.30","4.12M","-0.61%"
"01-07-2022","140.40","138.07","140.89","137.47","2.63M","1.28%"
"05-07-2022","139.65","137.22","139.65","135.65","4.06M","-0.53%"
"06-07-2022","138.15","139.29","140.50","137.85","4.40M","-1.07%"
"07-07-2022","141.03","140.18","142.17","139.15","4.26M","2.08%"
"08-07-2022","141.76","141.74","143.11","139.72","3.63M","0.52%"
"11-07-2022","140.58","140.47","142.31","139.84","2.38M","-0.83%"
"12-07-2022","139.18","137.53","141.89","137.06","4.05M","-1.00%"
"13-07-2022","139.40","136.84","140.02","136.36","2.75M","0.16%"
"14-07-2022","136.48","135.70","137.24","134.12","4.60M","-2.09%"
"15-07-2022","142.48","139.71","143.11","138.87","3.30M","4.40%"
"18-07-2022","142.33","144.34","146.05","141.52","3.33M","-0.11%"
"19-07-2022","147.78","144.40","147.93","144.40","3.37M","3.83%"
"20-07-2022","148.93","146.87","149.10","146.37","2.80M","0.78%"
"21-07-2022","150.18","148.21","150.33","146.45","4.68M","0.84%"
"22-07-2022","153.01","159.01","160.88","152.62","9.30M","1.88%"
"25-07-2022","153.79","154.25","154.78","151.21","4.21M","0.51%"
"26-07-2022","149.83","152.73","153.50","148.84","2.81M","-2.57%"
"27-07-2022","151.63","151.60","152.72","147.27","5.03M","1.20%"
"28-07-2022","152.14","151.76","152.65","147.54","3.59M","0.34%"
"29-07-2022","154.02","152.37","154.38","151.29","3.20M","1.24%"
"01-08-2022","153.33","152.84","154.77","151.80","2.30M","-0.45%"
"02-08-2022","151.60","152.02","153.30","150.84","2.56M","-1.13%"
"03-08-2022","155.43","154.07","156.04","153.31","2.61M","2.53%"
"04-08-2022","156.87","156.02","157.71","155.26","3.69M","0.93%"
"05-08-2022","157.51","156.48","158.04","156.00","2.51M","0.41%"
"08-08-2022","157.28","159.00","160.79","156.94","3.08M","-0.15%"
"09-08-2022","158.80","157.64","158.94","157.27","3.00M","0.97%"
"10-08-2022","162.44","161.77","164.21","161.64","3.23M","2.29%"
"11-08-2022","162.99","164.36","164.92","162.18","1.97M","0.34%"
"12-08-2022","165.84","164.47","166.00","163.28","1.94M","1.75%"
"15-08-2022","165.40","164.28","166.06","163.76","1.85M","-0.27%"
"16-08-2022","165.35","165.00","165.98","163.96","1.88M","-0.03%"
"17-08-2022","163.90","163.30","164.48","162.20","1.80M","-0.88%"
"18-08-2022","164.65","163.93","164.99","163.34","1.40M","0.46%"
"19-08-2022","162.24","163.50","163.93","162.01","1.90M","-1.46%"
"22-08-2022","157.70","158.98","159.19","156.98","1.97M","-2.80%"
"23-08-2022","157.33","158.00","159.60","157.20","2.89M","-0.23%"
"24-08-2022","159.13","157.03","159.56","156.29","2.03M","1.14%"
"25-08-2022","162.23","160.00","162.33","158.78","1.94M","1.95%"
"26-08-2022","157.31","163.21","163.59","157.19","2.37M","-3.03%"
"29-08-2022","154.54","155.88","156.51","154.41","2.69M","-1.76%"
"30-08-2022","154.66","155.64","156.12","152.90","2.10M","0.08%"
"31-08-2022","152.00","155.56","156.37","151.84","3.27M","-1.72%"
"01-09-2022","151.11","150.82","151.37","147.65","2.43M","-0.59%"
"02-09-2022","149.79","153.48","153.98","148.93","2.03M","-0.87%"
"06-09-2022","148.60","150.00","151.31","146.55","2.80M","-0.79%"
"07-09-2022","152.25","148.40","152.70","148.38","1.77M","2.46%"
"08-09-2022","153.52","150.92","153.69","149.51","3.40M","0.83%"
"09-09-2022","158.44","154.45","158.59","154.30","3.54M","3.20%"
"12-09-2022","162.45","159.50","163.45","159.34","4.15M","2.53%"
"13-09-2022","155.35","158.14","159.81","154.84","3.52M","-4.37%"
"14-09-2022","156.30","156.18","157.55","153.50","2.84M","0.61%"
"15-09-2022","156.13","156.43","158.79","155.90","2.37M","-0.11%"
"16-09-2022","153.08","154.08","154.08","150.51","6.53M","-1.95%"
"19-09-2022","155.36","151.25","155.48","150.70","2.47M","1.49%"
"20-09-2022","153.48","153.58","154.59","152.13","1.73M","-1.21%"
"21-09-2022","148.71","154.67","154.81","148.66","2.60M","-3.11%"
"22-09-2022","143.03","148.82","148.89","142.46","3.25M","-3.82%"
"23-09-2022","140.26","140.77","141.96","138.09","3.04M","-1.94%"
"26-09-2022","137.45","140.04","141.29","136.70","3.81M","-2.00%"
"27-09-2022","137.49","139.44","140.38","136.10","2.83M","0.03%"
"28-09-2022","140.56","138.50","141.18","136.52","5.27M","2.23%"
"29-09-2022","137.79","138.39","138.95","135.84","2.28M","-1.97%"
"30-09-2022","134.91","137.40","138.67","134.62","3.72M","-2.09%"
"03-10-2022","140.02","137.95","140.77","134.92","2.68M","3.79%"
"04-10-2022","145.46","143.03","145.55","143.03","2.41M","3.89%"
"05-10-2022","144.37","142.92","145.29","142.08","2.07M","-0.75%"
"06-10-2022","142.38","143.05","145.06","142.13","2.53M","-1.38%"
"07-10-2022","139.00","140.42","141.29","138.08","2.58M","-2.37%"
"10-10-2022","137.51","140.01","140.38","136.65","2.89M","-1.07%"
"11-10-2022","137.35","136.37","139.21","135.39","2.59M","-0.12%"
"12-10-2022","136.74","137.31","138.45","136.11","2.40M","-0.44%"
"13-10-2022","141.55","131.35","142.55","130.65","5.23M","3.52%"
"14-10-2022","136.81","142.96","143.88","136.14","3.87M","-3.35%"
"17-10-2022","141.54","140.58","142.22","140.09","3.14M","3.46%"
"18-10-2022","145.99","146.13","147.05","143.55","3.96M","3.14%"
"19-10-2022","143.97","145.43","147.07","142.60","2.80M","-1.38%"
"20-10-2022","142.42","144.00","147.32","142.15","4.32M","-1.08%"
"21-10-2022","140.04","140.99","141.32","132.21","11.76M","-1.67%"
"24-10-2022","141.63","141.30","143.79","140.37","4.30M","1.14%"
"25-10-2022","147.02","142.48","147.44","141.60","3.89M","3.81%"
"26-10-2022","146.88","147.56","149.50","146.47","3.56M","-0.10%"
"27-10-2022","146.97","148.44","149.71","146.41","2.10M","0.06%"
"28-10-2022","150.44","146.56","150.91","146.05","3.38M","2.36%"
"31-10-2022","148.45","150.00","150.30","148.32","3.04M","-1.32%"
"01-11-2022","147.08","149.96","150.63","146.63","2.68M","-0.92%"
"02-11-2022","143.50","146.58","149.03","143.37","2.85M","-2.43%"
"03-11-2022","139.31","141.09","142.20","138.77","3.96M","-2.92%"
"04-11-2022","144.72","142.40","146.36","141.00","3.32M","3.88%"
"07-11-2022","146.98","146.20","147.54","143.76","2.92M","1.56%"
"08-11-2022","150.20","147.44","151.34","147.14","3.85M","2.19%"
"09-11-2022","145.86","149.47","149.47","145.66","2.43M","-2.89%"
"10-11-2022","154.75","152.79","155.79","151.31","4.70M","6.09%"
"11-11-2022","154.89","156.49","158.88","154.70","3.71M","0.09%"
"14-11-2022","154.13","153.37","156.50","153.06","3.67M","-0.49%"
"15-11-2022","153.89","156.96","157.35","152.32","2.92M","-0.16%"
"16-11-2022","152.57","154.21","155.91","151.85","2.64M","-0.86%"
"17-11-2022","150.64","150.00","151.06","149.22","2.77M","-1.26%"
"18-11-2022","152.50","152.25","153.76","150.94","2.63M","1.23%"
"21-11-2022","152.81","152.25","153.46","151.89","2.00M","0.20%"
"22-11-2022","154.58","154.10","155.15","153.29","2.12M","1.16%"
"23-11-2022","153.93","153.83","154.99","152.88","1.40M","-0.42%"
"25-11-2022","154.15","153.52","154.47","153.17","665.79K","0.14%"
"28-11-2022","150.87","152.69","153.78","150.37","1.78M","-2.13%"
"29-11-2022","154.42","150.96","154.47","150.52","2.66M","2.35%"
"30-11-2022","157.59","153.84","157.59","151.48","3.91M","2.05%"
"01-12-2022","157.50","157.72","158.87","154.75","2.67M","-0.06%"
"02-12-2022","156.75","155.22","157.28","155.00","2.29M","-0.48%"
"05-12-2022","156.08","155.96","159.45","155.55","3.01M","-0.43%"
"06-12-2022","154.70","155.75","158.34","153.32","3.29M","-0.88%"
"07-12-2022","154.77","154.56","156.99","154.31","2.88M","0.05%"
"08-12-2022","154.12","155.89","156.42","153.45","1.63M","-0.42%"
"09-12-2022","153.90","153.99","155.14","152.62","1.76M","-0.14%"
"12-12-2022","157.31","154.26","157.76","154.00","2.77M","2.22%"
"13-12-2022","157.52","160.62","161.55","156.16","3.11M","0.13%"
"14-12-2022","154.11","157.57","158.62","153.84","3.56M","-2.16%"
"15-12-2022","150.22","151.65","152.28","146.47","4.28M","-2.52%"
"16-12-2022","146.30","148.59","148.59","144.15","4.51M","-2.61%"
"19-12-2022","145.01","146.04","146.74","143.66","2.55M","-0.88%"
"20-12-2022","145.70","144.99","146.50","144.25","1.61M","0.48%"
"21-12-2022","147.10","147.06","147.78","146.37","2.11M","0.96%"
"22-12-2022","145.31","146.05","146.70","142.72","2.90M","-1.22%"
"23-12-2022","147.02","145.23","147.14","144.52","1.67M","1.18%"
"27-12-2022","146.39","147.29","147.86","145.67","1.86M","-0.43%"
"28-12-2022","144.01","146.21","146.82","143.94","1.49M","-1.63%"
"29-12-2022","147.32","145.08","147.62","144.40","1.76M","2.30%"
"30-12-2022","147.75","146.01","147.93","145.73","2.25M","0.29%"
"03-01-2023","147.12","149.54","150.45","145.73","2.76M","-0.43%"
"04-01-2023","150.54","148.56","151.96","148.56","2.62M","2.32%"
"05-01-2023","146.43","147.16","148.72","146.02","2.51M","-2.73%"
"06-01-2023","150.17","147.74","150.43","145.48","3.08M","2.55%"
"09-01-2023","150.40","151.35","152.45","150.10","3.22M","0.15%"
"10-01-2023","152.00","150.51","152.18","149.28","2.20M","1.06%"
"11-01-2023","153.92","152.30","154.11","152.27","3.11M","1.26%"
"12-01-2023","154.92","154.76","155.75","152.40","3.32M","0.65%"
"13-01-2023","155.76","153.24","156.25","152.30","2.39M","0.54%"
"17-01-2023","153.75","155.54","156.10","153.37","3.07M","-1.29%"
"18-01-2023","150.42","154.49","154.76","150.32","2.76M","-2.17%"
"19-01-2023","146.85","146.61","148.00","144.20","3.85M","-2.37%"
"20-01-2023","151.60","147.96","151.78","147.72","3.95M","3.23%"
"23-01-2023","154.00","152.00","155.06","151.55","3.61M","1.58%"
"24-01-2023","155.33","154.00","156.67","152.66","2.35M","0.86%"
"25-01-2023","156.77","153.49","157.05","153.37","2.92M","0.93%"
"26-01-2023","155.88","157.65","158.23","154.29","3.64M","-0.57%"
"27-01-2023","172.31","166.80","175.54","165.50","14.00M","10.54%"
"30-01-2023","172.66","174.79","177.86","172.51","10.24M","0.20%"
"31-01-2023","174.93","172.91","175.31","171.90","5.17M","1.31%"
"01-02-2023","173.61","173.38","175.12","171.93","3.73M","-0.75%"
"02-02-2023","173.13","174.16","175.22","171.08","6.90M","-0.28%"
"03-02-2023","178.86","171.56","180.40","171.21","5.31M","3.31%"
"06-02-2023","176.48","176.74","177.75","175.69","3.40M","-1.33%"
"07-02-2023","178.70","175.05","179.03","174.75","3.53M","1.26%"
"08-02-2023","179.00","179.75","180.10","177.88","2.93M","0.17%"
"09-02-2023","179.37","179.15","182.08","178.48","3.56M","0.21%"
"10-02-2023","179.25","178.57","179.73","176.49","2.59M","-0.07%"
"13-02-2023","181.33","179.24","181.38","178.28","3.10M","1.16%"
